number of classes,number of clusters,feature extraction used,pca used,accuracy,precision,recall,f1,500 prediction latency (ms)
2,7,True,True,0.7413047014805023,0.6691892289703243,0.5751146270474407,0.5469147585314621,
2,2,True,True,0.7106924471567488,0.3553462235783744,0.5,0.4096229428063192,
2,8,True,False,0.7213805083990084,0.6617888259629042,0.5529209486904612,0.5054631140328254,
2,2,True,False,0.7106924471567488,0.3553462235783744,0.5,0.4096229428063192,
2,5,False,True,0.7165886381632984,0.7936500264120288,0.5091451344772998,0.42703009560456573,
2,2,False,True,0.722561699262445,0.7050650682697064,0.5146192061999703,0.43659179407128856,
2,12,False,False,0.657375984980293,0.6795904518847138,0.5067402299452658,0.44364114605220617,
2,2,False,False,0.7201816346134253,0.6531142449363112,0.513056047522965,0.436199718122874,
3,7,True,True,0.6006015471809085,0.36137761950647296,0.39875771785123637,0.33443311776013424,
3,3,True,True,0.5899808396474641,0.3297797317025402,0.4133020858930883,0.3376743672794481,
3,8,True,False,0.5798703210611464,0.35364065902419684,0.3774896868463013,0.30339963448826807,
3,3,True,False,0.5450712210242664,0.2945920136032728,0.3675992559608986,0.28171316538730234,
3,5,False,True,0.5662894908636661,0.4785302777209753,0.33988733619050165,0.2453327864237323,
3,3,False,True,0.5763688428234008,0.47926466127077394,0.34649929994878687,0.2541006514580072,
3,12,False,False,0.5100767302877529,0.46499322392056713,0.34782872633701606,0.2705281690098302,
3,3,False,False,0.5722877362748723,0.4758858211119798,0.343256029217835,0.25121997283305536,
