number of classes,feature extraction used,accuracy,precision,recall,f1,50 prediction latency (ns),RAM usage
2,True,0.7252925594420723,0.5911618334592025,0.5553246906889505,0.5101224812698375,248561.89,28569688.023661524
2,False,0.7263208951552595,0.8244007554598797,0.5176058908066067,0.44745426578806885,236731.51,30732259.463551752
3,True,0.5824346259413962,0.3267925225928558,0.413000418778996,0.32830065982883627,242399.64,31371806.81745889
3,False,0.5481054932785248,0.5294407139783435,0.3452914661468726,0.2620282741911346,230976.18,32123092.433590245
